2 249685                      
TIME		DATE	MODULE	EVENT_TYPE	THREAD	FUNCTION	MESSAGE
11:22:54	3424	03/26/08	PGPLUGIN	Error	ID:2052	Stack Trace:	Thread: 120 | 0x7C90E9BE | ntdll.dll |  | NtWaitForSingleObject | Line: 0
11:22:54	3424	03/26/08	PGPLUGIN	Error	ID:2052	Stack Trace:	Thread: 120 | 0x7C9010ED | ntdll.dll |  | RtlLeaveCriticalSection | Line: 0
11:22:54	3425	03/26/08	PGPLUGIN	Error	ID:2052	Stack Trace:	Thread: 120 | 0x02C44976 | QPR.PG.Plugin.dll | QPR.Common.Debug.Synchronizers.pas | Common.Debug.Synchronizers.TCriticalSectionWithSpinCount.Release | Line: 239
11:22:54	3425	03/26/08	PGPLUGIN	Error	ID:2052	Stack Trace:	Thread: 120 | 0x7C802540 | kernel32.dll |  | WaitForSingleObjectEx | Line: 0
11:22:54	3426	03/26/08	PGPLUGIN	Error	ID:2052	Stack Trace:	Thread: 120 | 0x7C80252D | kernel32.dll |  | WaitForSingleObject | Line: 0
11:22:54	3426	03/26/08	PGPLUGIN	Error	ID:2052	Stack Trace:	Thread: 120 | 0x7C802520 | kernel32.dll |  | WaitForSingleObject | Line: 0
11:22:54	3427	03/26/08	PGPLUGIN	Error	ID:2052	Stack Trace:	Thread: 120 | 0x02BACAC4 | QPR.PG.Plugin.dll | SyncObjs.pas | THandleObject.WaitFor | Line: 240
11:22:54	3427	03/26/08	PGPLUGIN	Error	ID:2052	Stack Trace:	Thread: 120 | 0x02E1A255 | QPR.PG.Plugin.dll | QPR.PG.Plugin.Model.Entry.pas | PG.Plugin.Model.Entry.CPGPluginModelProcessorThread.RExecute | Line: 730
11:22:54	3428	03/26/08	PGPLUGIN	Error	ID:2052	Stack Trace:	Thread: 120 | 0x02C85466 | QPR.PG.Plugin.dll | QPR.Common.Log.LoggedThread.pas | Common.Log.LoggedThread.CLoggedThread.Execute | Line: 26
11:22:54	3428	03/26/08	PGPLUGIN	Error	ID:2052	Stack Trace:	Thread: 120 | 0x7C90E21D | ntdll.dll |  | ZwQueryVirtualMemory | Line: 0
11:22:54	3430	03/26/08	PGPLUGIN	Error	ID:2052	Stack Trace:	Thread: 120 | 0x7C80B9B7 | kernel32.dll |  | VirtualQueryEx | Line: 0
11:22:54	3430	03/26/08	PGPLUGIN	Error	ID:2052	Stack Trace:	Thread: 120 | 0x7C80B9A0 | kernel32.dll |  | VirtualQueryEx | Line: 0
11:22:54	3431	03/26/08	PGPLUGIN	Error	ID:2052	Stack Trace:	Thread: 120 | 0x7C80B9E1 | kernel32.dll |  | VirtualQuery | Line: 0
11:22:54	3432	03/26/08	PGPLUGIN	Error	ID:2052	Stack Trace:	Thread: 120 | 0x7C80B9D1 | kernel32.dll |  | VirtualQuery | Line: 0
11:22:54	3432	03/26/08	PGPLUGIN	Error	ID:2052	Stack Trace:	Thread: 120 | 0x00409868 | QPRWas.exe | QPR.PG.Clients.Texts.pas |  | Line: 1006
11:22:54	3433	03/26/08	PGPLUGIN	Error	ID:2052	Stack Trace:	Thread: 120 | 0x00409FD7 | QPRWas.exe | QPR.PG.Clients.Texts.pas |  | Line: 1130
11:22:54	3433	03/26/08	PGPLUGIN	Error	ID:2052	Stack Trace:	Thread: 120 | 0x02B73180 | QPR.PG.Plugin.dll | system.pas | AllocMem | Line: 2552
11:22:54	3434	03/26/08	PGPLUGIN	Error	ID:2052	Stack Trace:	Thread: 120 | 0x7C809728 | kernel32.dll |  | GetCurrentThreadId | Line: 0
11:22:54	3434	03/26/08	PGPLUGIN	Error	ID:2052	Stack Trace:	Thread: 120 | 0x02B84610 | QPR.PG.Plugin.dll | sysutils.pas | TThreadLocalCounter.HashIndex | Line: 16599
11:22:54	3435	03/26/08	PGPLUGIN	Error	ID:2052	Stack Trace:	Thread: 120 | 0x7C90E57A | ntdll.dll |  | NtSetEvent | Line: 0
11:22:54	3435	03/26/08	PGPLUGIN	Error	ID:2052	Stack Trace:	Thread: 120 | 0x7C80A021 | kernel32.dll |  | SetEvent | Line: 0
11:22:54	3436	03/26/08	PGPLUGIN	Error	ID:2052	Stack Trace:	Thread: 120 | 0x7C80A017 | kernel32.dll |  | SetEvent | Line: 0
11:22:54	3436	03/26/08	PGPLUGIN	Error	ID:2052	Stack Trace:	Thread: 120 | 0x02B847C0 | QPR.PG.Plugin.dll | sysutils.pas | TMultiReadExclusiveWriteSynchronizer.UnblockReaders | Line: 16700
11:22:54	3437	03/26/08	PGPLUGIN	Error	ID:2052	Stack Trace:	Thread: 120 | 0x02B9DBCC | QPR.PG.Plugin.dll | Classes.pas | ThreadProc | Line: 9877
11:22:54	3437	03/26/08	PGPLUGIN	Error	ID:2052	Stack Trace:	Thread: 120 | 0x02B7572C | QPR.PG.Plugin.dll | system.pas | ThreadWrapper | Line: 12110
11:22:54	3438	03/26/08	PGPLUGIN	Error	ID:2052	Stack Trace:	Thread: 2052 | 0x02B785DC | QPR.PG.Plugin.dll | windows.pas | ResumeThread | Line: 29997
11:22:54	3438	03/26/08	PGPLUGIN	Error	ID:2052	Stack Trace:	Thread: 2052 | 0x02B9E148 | QPR.PG.Plugin.dll | Classes.pas | TThread.Resume | Line: 10252
11:22:54	3439	03/26/08	PGPLUGIN	Error	ID:2052	Stack Trace:	Thread: 2052 | 0x02B9E140 | QPR.PG.Plugin.dll | Classes.pas | TThread.Resume | Line: 10251
11:22:54	3439	03/26/08	PGPLUGIN	Error	ID:2052	Stack Trace:	Thread: 2052 | 0x02E19C1C | QPR.PG.Plugin.dll | QPR.PG.Plugin.Model.Entry.pas | PG.Plugin.Model.Entry.CPGPluginModelProcessorThread.FCreate | Line: 574
11:22:54	3440	03/26/08	PGPLUGIN	Error	ID:2052	Stack Trace:	Thread: 2052 | 0x02E19B70 | QPR.PG.Plugin.dll | QPR.PG.Plugin.Model.Entry.pas | PG.Plugin.Model.Entry.CPGPluginModelProcessorThread.FCreate | Line: 566
